,Country,Index_employment
0,Afghanistan,1.0
1,Albania,0.5
2,Algeria,0.5
3,Angola,0.75
4,Argentina,0.75
5,Armenia,0.25
6,Australia,1.0
7,Austria,1.0
8,Azerbaijan,1.0
9,Bahamas,0.5
10,Bahrain,1.0
11,Bangladesh,1.0
12,Barbados,0.75
13,Belarus,1.0
14,Belgium,0.75
15,Belize,0.75
16,Benin,1.0
17,Bhutan,1.0
18,Bolivia,1.0
19,Bosnia and Herzegovina,0.25
20,Botswana,0.25
21,Brazil,0.5
22,Brunei,0.75
23,Bulgaria,0.75
24,Burkina Faso,0.75
25,Burma (Myanmar),1.0
26,Burundi,1.0
27,Cambodia,1.0
28,Cameroon,1.0
29,Canada,0.75
30,Cape Verde,0.5
31,Central African Republic,0.75
32,Chad,1.0
33,Chile,0.75
34,China,1.0
35,Colombia,0.75
36,Comoros,1.0
37,Costa Rica,0.75
38,Croatia,0.5
39,Cuba,1.0
40,Cyprus,0.5
41,Czech Republic,1.0
42,Democratic Republic of the Congo,0.5
43,Denmark,1.0
44,Dominican Republic,1.0
45,Ecuador,1.0
46,Egypt,0.5
47,El Salvador,1.0
48,Equatorial Guinea,0.75
49,Eritrea,0.75
50,Estonia,1.0
51,Ethiopia,1.0
52,Fiji,1.0
53,Finland,0.75
54,France,0.75
55,Gabon,0.25
56,Gambia,0.75
57,Georgia,0.5
58,Germany,1.0
59,Ghana,0.75
60,Greece,0.25
61,Guatemala,1.0
62,Guinea,1.0
63,Guinea-Bissau,1.0
64,Guyana,0.5
65,Haiti,0.5
66,Honduras,1.0
67,Hong Kong,1.0
68,Hungary,1.0
69,Iceland,1.0
70,India,1.0
71,Indonesia,1.0
72,Iran,0.5
73,Iraq,0.75
74,Ireland,0.75
75,Israel,1.0
76,Italy,0.5
77,Ivory Coast,1.0
78,Jamaica,0.5
79,Japan,1.0
80,Jordan,0.5
81,Kazakhstan,1.0
82,Kenya,0.75
83,Kuwait,1.0
84,Kyrgyzstan,0.75
85,Laos,1.0
86,Latvia,0.75
87,Lebanon,0.75
88,Lesotho,0.0
89,Liberia,1.0
90,Libya,1.0
91,Lithuania,0.75
92,Luxembourg,1.0
93,Macao,1.0
94,Macedonia,0.0
95,Madagascar,1.0
96,Malawi,1.0
97,Malaysia,1.0
98,Maldives,1.0
99,Mali,0.75
100,Malta,1.0
101,Mauritania,0.5
102,Mauritius,0.75
103,Mexico,1.0
104,Moldova,1.0
105,Mongolia,0.75
106,Montenegro,0.25
107,Morocco,0.75
108,Mozambique,1.0
109,Namibia,0.0
110,Nepal,1.0
111,Netherlands,1.0
112,New Caledonia,0.5
113,New Zealand,1.0
114,Nicaragua,1.0
115,Niger,1.0
116,Nigeria,0.75
117,North Korea,1.0
118,Norway,1.0
119,Oman,1.0
120,Pakistan,1.0
121,Palestine,0.0
122,Panama,1.0
123,Papua New Guinea,1.0
124,Paraguay,1.0
125,Peru,1.0
126,Philippines,1.0
127,Poland,1.0
128,Portugal,0.75
129,Puerto Rico,0.5
130,Qatar,1.0
131,Republic of the Congo,0.5
132,Romania,1.0
133,Russia,1.0
134,Rwanda,1.0
135,Saint Lucia,0.25
136,Saint Vincent and the Grenadines,0.25
137,Samoa,0.75
138,Sao Tome and Principe,0.5
139,Saudi Arabia,1.0
140,Senegal,0.75
141,Serbia,0.5
142,Sierra Leone,1.0
143,Singapore,1.0
144,Slovakia,0.75
145,Slovenia,0.75
146,Solomon Islands,1.0
147,Somalia,0.5
148,South Africa,0.0
149,South Korea,1.0
150,Spain,0.25
151,Sri Lanka,1.0
152,Sudan,0.5
153,Suriname,0.75
154,Swaziland,0.0
155,Sweden,0.75
156,Switzerland,1.0
157,Syria,0.75
158,Tajikistan,0.5
159,Tanzania,1.0
160,Thailand,1.0
161,Togo,1.0
162,Tonga,1.0
163,Trinidad and Tobago,1.0
164,Tunisia,0.25
165,Turkey,0.5
166,Turkmenistan,1.0
167,Uganda,1.0
168,Ukraine,0.75
169,United Arab Emirates,1.0
170,United Kingdom,1.0
171,Uruguay,0.75
172,USA,1.0
173,Uzbekistan,1.0
174,Vanuatu,1.0
175,Venezuela,0.75
176,Vietnam,1.0
177,Yemen,0.5
178,Zambia,0.75
179,Zimbabwe,1.0
